id	occurrences	char	shape_hex
g55	2456	今	00280000be0006d7906f41f92bffe806aa901aaaa02ffff00001d0002b80002e00000000
g56	2420	結	0d02c06c2ae9ba7ffe3f42c02e6ffc7e9aa8beeffc2a6eac7bac2caaeffc5eaeac000000
g57	2336	村	0b00380b00383feffe2b9ab90f86382feb387b47b81b02380b00380b01b80b00f4000000
g58	2332	良	0038002ffff02eaab02ffff02eaab02eaab02ffff02c2db42c0be06ef2e9bea06c000000
g59	2320	縮	0d03806cbffebabaae3fabfd2e6ae87ebbfcbeebac2a6bfc7babacaaebfc5eabac000000
g60	2314	役	026ff00b6eb92d3cba26b87d0b6aa82e3ffcbe1d2c1e0e780e07f00e6fb90e2928000000
g61	2306	水	002c00002c002aac183fee7d02eff403afd00b6ee01e2cf47d2c7d24ac1800b800000000
g62	2258	報	0b0ffe3feeae2b9ebebfee286edffe2edeee3feeee6b9eacbfee780b0ebd0b0ed9000000
g63	2230	適	25aba87afffc29bae802ebac6aefecbedbac2eeeec2edafc2f8064bbfffd20aaa8000000
g64	2228	追	240a0078fff828eab800fff868eaa4bcfffc2ceaac2cfffc2eaaa8bbfffd20aaa8000000
g65	2178	社	0b02c00b02c03fe2c02aeae802dffc1b82c0bfa2c02b12c00b02c00b1ae90b2ffe000000
g66	2162	楽	1028043affac1eebb406ff906febf92affa82aaea83ffffc02ff906fadb9282c19000000
g67	2140	張	bfaffc6baea803aff83faea43a6ff87a6ea9bfbffe03aeed03acf82baf7d2e7a18000000
g68	2080	細	0d1aa96c2ffeba6ece3f6ece2e6eee7eaffebeeece2a6ece7baeeeaaeffe5eac0e000000
g69	2080	描	0e0e380ebffebfeeb96eaeb90ebffe0ffacebe3ffe6e3aee0e3ace6e3ffe3d3aae000000
g70	2080	園	3ffffc3abaac3affac3abaac3aaaac3aebac39feac3bfbac3ab2ac3ffffc3aaaac000000
g71	2064	覚	1964640b2de0bffffeb6aa9e6baae90bffe00baae00baae00bffe406ebae7e87fd000000
g72	2022	慮	003ff02ffaa82ebaac2efaa82dbff42eebb82eebb83daaa43ebb4dbbbaba2a7fe5000000
g73	2008	極	0e6aa90ebffe3f9e692e5bbe2fbb9e3febedbeabb82ebbbc0e1fee0e6fa90ebffe000000
g74	1934	来	002c002aaea83ffffc0a2c64076de0bffffe6abfa906ff906fadf9292c28002c00000000
g75	1888	常	0a2c646baef9bffffeb6aa9e6baae90bffe006ba902ffff82ebab82c39f81838a0000000
g76	1880	名	00b00001fff81baab40ae2e0047f8006f9007ffffc1baaac0b002c0bfffc0baaac000000
g77	1870	苦	02c380bffffe6aeba901ae40bffffe6aaea91aaea42ffff82c00382ffff82eaab8000000
g78	1826	話	3feafd2a9fe9bff2c06aaffe3feae92a9ae82a9ffc3fee2c3aee2c3feffc3a9eac000000
g79	1808	岡	3ffffe3aaaae3ad78e3aefae3ffffe3a6c9e3bacee3baeee3bffee38006e38003d000000
g80	1790	番	6aabf83ffeb80b6de43ffffc2beee87e2cbd2ffff82eaeb82eaeb82ffff82eaab8000000
g81	1776	観	2ea3fc7ff3ac6ba7fcbffbac1ee7fc2ee7acbff3fc2ee2b82ee2b92ffb7a2eaa2d000000
g82	1720	労	1964600f3cb46aaae9bffffeb0240e1abaa82ffffc00b02c02e02c6f86bc2903f4000000
g83	1712	田	1aaaa82ffffc2c2c2c2c2c2c2eaeac2ffffc2c2c2c2c2c2c2eaeac2ffffc2c002c000000
g84	1664	由	002c00002c001aaea82ffffc2c2c2c2eaeac2ffffc2c2c2c2c2c2c2ffffc2eaaac000000
g85	1660	短	2c2ffe2eaaa93feaa87b8ffc138e2c3feeac2b9ffc0b8a241eeb387caab9242ffe000000
g86	1656	肩	3ffffc2aaaa82ffff82eaab82eaaa42efff82eeab82eeab83afff8bac2b822c2f4000000
g87	1652	加	0e00000e02a93ff3fe2eb38e0eb38e0eb38e1db38e2cb38e28b3ae7af3fe23d38e000000
g88	1648	任	0280a407bff80b2b802e03807e03806efffe0eaba90e03800e03800e6ba80ebffc000000
g89	1642	軽	0b2ffcbfeaac6b9b78bfe2f4bbabbdbbaa18bfe0e06b9ffcbfeae86baae90b2ffe000000
g90	1634	波	1d02c00bbffe22baee78b2c91dbffc00bbac0abb280eb7b42da2e078ebf9246e2c000000
g91	1622	他	0a03800eb3802db3bc3cbfecbefbac3db3ac2cb3b82cb3802cb0092cbaae2c7ffd000000
g92	1620	平	1aaaa42ffff8093c600a3ca0077dd06abea9bffffe003c00003c00003c00003c00000000
